species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
CYNO,MACACA_FASCICULARIS,M,LUNG,inflammatory cell infiltration,ANY,55,285,28,9.82,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,inflammatory cell infiltration,ANY,55,285,27,9.47,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,interstitial inflammation,ANY,55,285,22,7.72,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / interstitial inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,interstitial inflammation,ANY,55,285,14,4.91,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / interstitial inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,alveolar macrophage accumulation,ANY,55,285,16,5.61,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / alveolar macrophage accumulation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,alveolar macrophage accumulation,ANY,55,285,16,5.61,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / alveolar macrophage accumulation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,pigment deposits,ANY,55,285,16,5.61,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / pigment deposits,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,pigment deposits,ANY,55,285,10,3.51,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / pigment deposits,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,focal pleural fibrosis/pleuritis,ANY,55,285,16,5.61,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / focal pleural fibrosis/pleuritis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,focal pleural fibrosis/pleuritis,ANY,55,285,9,3.16,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / focal pleural fibrosis/pleuritis,1,range_cross_sex
