species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,inflammatory cell infiltration,ANY,55,570,55,9.6,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=28;pass2_f=27,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / inflammatory cell infiltration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,interstitial inflammation,ANY,55,570,36,6.3,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=22;pass2_f=14,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / interstitial inflammation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,alveolar macrophage accumulation,ANY,55,570,32,5.6,,0.0,40.0,,chamanza_2010,HIGH,pass2_m=16;pass2_f=16,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / alveolar macrophage accumulation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,pigment deposits,ANY,55,570,26,4.6,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=16;pass2_f=10,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / pigment deposits,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,focal pleural fibrosis/pleuritis,ANY,55,570,25,4.4,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=16;pass2_f=9,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / focal pleural fibrosis/pleuritis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,foreign body granuloma,ANY,55,570,17,3.0,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=8;pass2_f=9,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / foreign body granuloma,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,hyperplasia of BALT,ANY,55,570,17,3.0,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=7;pass2_f=10,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / hyperplasia of BALT,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,bronchiolitis,ANY,55,570,13,2.3,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=5;pass2_f=8,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / bronchiolitis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,emboli,ANY,55,570,12,2.1,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=7;pass2_f=5,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / emboli,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LUNG,vasculitis/vascular degeneration,ANY,55,570,9,1.6,,0.0,40.0,,chamanza_2010,HIGH,pass2_m=5;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / vasculitis/vascular degeneration,2,pass2_aggregate_reconstruction
