species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,gallstones,ANY,,420,368,87.5,,,,,maita_1977,LOW,pass2_paper_aggregate; ,,1977,unknown,pre_inhand_1977,,1,,Gallstones were found in 87.5 % of cases examined,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,granulomas,ANY,,420,252,59.9,,,,,maita_1977,LOW,pass2_paper_aggregate; ,,1977,unknown,pre_inhand_1977,,2,,granulomas... were seen in the liver of 59.9% of cases exami,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,intranuclear hyaline inclusions,ANY,,420,221,52.6,,,,,maita_1977,LOW,pass2_paper_aggregate; more frequent in animals tested >13 weeks (per discussion),,1977,unknown,pre_inhand_1977,,2,,Intranuclear hyaline bodies... in hepatocytes from 52.6% of ,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,lipofuscin deposition,ANY,,420,210,50.0,,,,,maita_1977,LOW,pass2_paper_aggregate; OCR artifact: paper shows '50 /' in fitz; confirmed 50% per abstract and Japanese summary,,1977,unknown,pre_inhand_1977,,2,,In hepatocytes of 50 [%] of cases examined lipofuscin was se,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,eosinophilic cytoplasmic inclusions,ANY,,420,16,3.7,,,,,maita_1977,LOW,pass2_paper_aggregate; ,,1977,unknown,pre_inhand_1977,,2,,Eosinophilic... cytoplasmic inclusion bodies... in hepatocyt,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,LIVER,parenchymal necrosis at ligament base,ANY,,420,31,7.3,,,,,maita_1977,LOW,pass2_paper_aggregate; Japanese summary on page 4 conflicts with 3.7% — likely JP typo (see AMB-MAITA-002),,1977,unknown,pre_inhand_1977,,2,,In 7.3 % of cases examined fresh or old hemorrhages... at th,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,THYROID GLAND,follicular epithelial cell hyperplasia,ANY,,420,194,46.3,,,,,maita_1977,LOW,pass2_paper_aggregate; ,,1977,unknown,pre_inhand_1977,,3,,Bilateral hyperplasia of the follicular epithelial cells was,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,SPLEEN,"gandy-gamna like bodies, capsular",ANY,,420,181,43.1,,,,,maita_1977,LOW,pass2_paper_aggregate; assumed handling-related per discussion; rarely seen in breeding-colony animals,,1977,unknown,pre_inhand_1977,,3,,Gandy-Gamna bodies in the splenic capsule of 43.1 % of cases,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,BOTH_AGGREGATE,PITUITARY,anterior lobe cysts,ANY,,420,147,35.1,,,,,maita_1977,LOW,pass2_paper_aggregate; considered congenital defect per discussion,,1977,unknown,pre_inhand_1977,,3,,Cysts 20 to 200 [um] in diameter were found in the anterior ,2,pass2_aggregate_reconstruction|prose_percentage
BEAGLE,BEAGLE,M,PROSTATE,chronic inflammation,ANY,,215,29,13.7,,,,,maita_1977,LOW,pass2_paper_aggregate; prostatitis per abstract; rate expressed against male denominator per detail text,,1977,unknown,pre_inhand_1977,,3,,Chronic inflammation was seen in the prostates from 13.7 % o,2,pass2_aggregate_reconstruction|prose_percentage
