Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C120532		Yes	SEND Cardiovascular Test Code	SCVTSTCD	SEND Cardiovascular Test Code	Terminology related to the non-clinical cardiovascular test code codelist.	CDISC SEND Cardiovascular Test Code Terminology
C120914	C120532		SEND Cardiovascular Test Code	ACTIVITY	Activity	A measurement of a subject's physical activity or movement.	Physical Activity Measurement
C186258	C120532		SEND Cardiovascular Test Code	CI	Contractility Index	A relative measurement (ratio) of the maximum rate of pressure rise (dP/dt maximum) to maximum isovolumetric pressure.	Contractility Index Measurement
C168125	C120532		SEND Cardiovascular Test Code	CPLRFLT	Capillary Refill Time	The amount of time it takes for a capillary bed to refill with blood after pressure blanching.	Capillary Refill Test
C25299	C120532		SEND Cardiovascular Test Code	DIABP	Diastolic Blood Pressure	The minimum blood pressure in the systemic arterial circulation during the cardiac cycle.	Diastolic Blood Pressure
C186259	C120532		SEND Cardiovascular Test Code	DPDT40	Left Ventricular Positive dP/dt 40mmHg; Left Ventricular Positive dP/dt at 40mmHg; Positive dP/dt at 40mmHg; Positive dP/dt Derivative at 40mmHg	The maximum rate of positive pressure change over time within the left ventricle (systole) at 40mmHg.	Left Ventricular Positive dP/dt at 40mmHg
C120915	C120532		SEND Cardiovascular Test Code	DPDTAVG	dP/dt Average	The average rate of pressure change over time within the left ventricle (systole).	dP/dt Average
C120916	C120532		SEND Cardiovascular Test Code	DPDTMAX	+dPdt; dPdt Maximum; Left Ventricular Maximum Positive dP/dt	The maximum rate of positive pressure change over time within the left ventricle (systole).	Left Ventricular Maximum Positive dP/dt
C120917	C120532		SEND Cardiovascular Test Code	DPDTMIN	-dP/dt; Left Ventricular Maximum Negative dP/dt; Left Ventricular Minimum Positive dP/dt	The minimum rate of positive pressure change over time within the left ventricle (systole).	Left Ventricular Minimum Positive dP/dt
C221711	C120532		SEND Cardiovascular Test Code	DPDTNAVG	dP/dt Negative Average	The average rate of negative pressure change over time within the left ventricle (systole).	Left Ventricular dP/dt Negative Average
C49677	C120532		SEND Cardiovascular Test Code	HR	Heart Rate	The number of heartbeats per unit of time, usually expressed as beats per minute. (NCI)	Heart Rate
C120919	C120532		SEND Cardiovascular Test Code	LVEDP	Left Ventricular End Diastolic Pressure	The pressure within the left ventricle of the heart at the end of the period when the chambers of the heart refill with blood and just before the contraction begins.	Left Ventricular End Diastolic Pressure
C120920	C120532		SEND Cardiovascular Test Code	LVSYSBP	Left Ventricular Systolic Pressure	The pressure within the left ventricle of the heart during the contraction of the left ventricle of the heart.	Left Ventricular Systolic Pressure
C49679	C120532		SEND Cardiovascular Test Code	MAP	Mean Arterial Pressure	The mean pressure of the blood within the arterial circulation.	Mean Arterial Pressure
C121185	C120532		SEND Cardiovascular Test Code	PDPDTMAX	Left Ventricular Pressure Maximum; Pressure at dP/dt Maximum	The positive pressure that correlates with the maximum dP/dt, the rate of change in pressure over time.	Pressure at dP/dt Maximum
C121186	C120532		SEND Cardiovascular Test Code	PDPDTMIN	Left Ventricular Pressure Minimum; Pressure at dP/dt Minimum	The positive pressure that correlates with the minimum dP/dt, the rate of change in pressure over time.	Pressure at dP/dt Minimum
C100945	C120532		SEND Cardiovascular Test Code	PULSEPR	Pulse Pressure	The change in systolic to diastolic pressure which produces a pulse.	Pulse Pressure
C25298	C120532		SEND Cardiovascular Test Code	SYSBP	Systolic Blood Pressure	The maximum blood pressure in the systemic arterial circulation during the cardiac cycle.	Systolic Blood Pressure
C119248	C120532		SEND Cardiovascular Test Code	TPR	Systemic Vascular Resistance; Total Peripheral Resistance	The resistance to blood flow through the systemic vasculature.	Systemic Vascular Resistance
