Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C71153		Yes	ECG Test Code	EGTESTCD	ECG Test Code	Terminology codelist used with ECG Tests within CDISC.	CDISC SDTM ECG Test Code Terminology
C116140	C71153		ECG Test Code	AMIEGCHG	Acute Myocardial Ischemia ECG Change	An electrocardiographic finding assessment of new or presumed new significant ST-segment-T wave (ST-T) changes or new left bundle branch block consistent with acute myocardial ischemia. (Thygesen K, Alpert JS, Jaffe AS, Simoons ML, et al.; Joint ESC/ACCF/AHA/WHF Task Force for Universal Definition of Myocardial Infarction. Third universal definition of myocardial infarction. J Am Coll Cardiol. 2012 Oct 16;60(16):1581-98).	Acute Myocardial Ischemia by ECG Assessment
C111131	C71153		ECG Test Code	AVCOND	Atrioventricular Conduction	An electrocardiographic assessment of cardiac atrioventricular conduction.	Atrioventricular Conduction ECG Assessment
C111132	C71153		ECG Test Code	AXISVOLT	Axis and Voltage	An electrocardiographic assessment of mean cardiac electrical vector and the ECG voltage.	Axis and Voltage ECG Assessment
C111155	C71153		ECG Test Code	CHYPTENL	Chamber Hypertrophy or Enlargement	An electrocardiographic assessment of chamber hypertrophy or enlargement.	Chamber Hypertrophy or Enlargement ECG Assessment
C119253	C71153		ECG Test Code	EGARMAX	ECG Maximum Atrial Rate	An electrocardiographic measurement of the maximum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Maximum Atrial Rate by Electrocardiogram
C119254	C71153		ECG Test Code	EGARMED	ECG Median Atrial Rate	An electrocardiographic measurement of the median rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Median Atrial Rate by Electrocardiogram
C119255	C71153		ECG Test Code	EGARMIN	ECG Minimum Atrial Rate	An electrocardiographic measurement of the minimum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Minimum Atrial Rate by Electrocardiogram
C119256	C71153		ECG Test Code	EGARMN	ECG Mean Atrial Rate	An electrocardiographic measurement of the average rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Mean Atrial Rate by Electrocardiogram
C117761	C71153		ECG Test Code	EGCOMP	Comparison to a Prior ECG	A comparative interpretation of an ECG relative to a previous (comparator) ECG. The definition of the comparator ECG may be specified elsewhere. Common comparator result values include improved, no change, deteriorated.	Comparison to a Prior ECG
C119257	C71153		ECG Test Code	EGHRMAX	ECG Maximum Heart Rate	An electrocardiographic measurement of the maximum rate of depolarization of the heart during an interval of time.	Maximum Heart Rate by Electrocardiogram
C123447	C71153		ECG Test Code	EGHRMED	ECG Median Heart Rate	An electrocardiographic measurement of the median rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the median ventricular rate.	ECG Median Heart Rate
C119258	C71153		ECG Test Code	EGHRMIN	ECG Minimum Heart Rate	An electrocardiographic measurement of the minimum rate of depolarization of the heart during an interval of time.	Minimum Heart Rate by Electrocardiogram
C119259	C71153		ECG Test Code	EGHRMN	ECG Mean Heart Rate	An electrocardiographic measurement of the average rate of depolarization of the heart during an interval of time.	Mean Heart Rate by Electrocardiogram
C120608	C71153		ECG Test Code	EGHRSI	Single RR Heart Rate	An electrocardiographic measurement of a heart rate derived from a single RR interval (interval between two consecutive QRS complexes).	Single Beat RR Extrapolated Heart Rate by ECG Assessment
C119260	C71153		ECG Test Code	EGVRMAX	ECG Maximum Ventricular Rate	An electrocardiographic measurement of the maximum rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Maximum Ventricular Rate by Electrocardiogram
