Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C124310		Yes	Fetal Pathology Findings Result	FXFINDRS	Fetal Pathology Findings Result	Terminology relevant to the results for fetal gross pathological findings.	CDISC SEND Fetal Pathology Findings Result Terminology
C124485	C124310		Fetal Pathology Findings Result	ABNORMAL CONSISTENCY	Altered Consistency	Atypical consistency observed in the contents of a structure.	Altered Consistency
C124486	C124310		Fetal Pathology Findings Result	ABNORMAL FISSURE		An atypical long narrow slit or groove that divides an organ into lobes, or tissues and bone into parts. (NCI)	Abnormal Fissure
C124487	C124310		Fetal Pathology Findings Result	ABNORMAL FLEXURE		A flexure that is deviating from the norm or outside the bounds of what is considered normal.	Abnormal Flexure
C186225	C124310		Fetal Pathology Findings Result	ABNORMAL FLUID OR SUBSTANCE		The abnormal presence of fluid or other biological material.	Abnormal Fluid or Substance
C124488	C124310		Fetal Pathology Findings Result	ABNORMAL LOBATION		A lobation that is deviating from the norm or outside the bounds of what is considered normal.	Abnormal Lobation
C124489	C124310		Fetal Pathology Findings Result	ABNORMAL ORIGIN	Malpositioned Origin	An origin that is deviating from the norm or outside the bounds of what is considered normal.	Abnormal Origin
C124490	C124310		Fetal Pathology Findings Result	ABNORMAL SUTURE		Skull bones out of alignment causing the suture to deviate from its normal pattern.	Abnormal Suture Line
C124491	C124310		Fetal Pathology Findings Result	ABNORMAL TEXTURE	Altered Surface Texture; Altered Texture	Atypical texture observed in the surface of a structure.	Altered Texture
C124492	C124310		Fetal Pathology Findings Result	ABSENT FISSURE		The lack of a long narrow slit or groove that normally divides an organ into lobes, or tissues and bone into parts. (NCI)	Absent Fissure
C48190	C124310		Fetal Pathology Findings Result	ABSENT		Not existing in a specified place at a specified time. (NCI)	Absent
C124493	C124310		Fetal Pathology Findings Result	ACEPHALOSTOMIA		Absence of the head but with the presence of mouth-like orifice in the neck region. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Acephalostomia
C186226	C124310		Fetal Pathology Findings Result	ADHERED TO CORNEA		The entity is attached to the cornea.	Adhered to Cornea
C54685	C124310		Fetal Pathology Findings Result	ADHESION		A fibrinous or fibrous connection between two surfaces or tissues, connecting tissues or organs that are not normally attached.	Tissue Adhesion
C124494	C124310		Fetal Pathology Findings Result	AMNIOTIC BAND		Fibrous bands from the amnion that may entangle the fetus, causing constriction.	Amniotic Band
C84560	C124310		Fetal Pathology Findings Result	ANENCEPHALY		Absence of the cranial region of the head, with the brain absent or reduced. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Anencephaly
C26693	C124310		Fetal Pathology Findings Result	ANEURYSM		Localized dilatation of a blood vessel wall.	Aneurysm
C124496	C124310		Fetal Pathology Findings Result	ASYMMETRIC OSSIFICATION	Misaligned Ossification	Commonly used for structures arising from two or more primary ossification centers (e.g., sternebrae, vertebral centra). Ossification is greater in one or more of the centers than the other(s). Applies only to ossification sites and does not imply that the structure, as represented by the bone precursor, is asymmetrical. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Asymmetric Ossification
C186227	C124310		Fetal Pathology Findings Result	ASYMMETRIC		Lack of symmetry; The two sides of a normally symmetrical structure appear to be unequal in size and/or shape. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Asymmetric
C124497	C124310		Fetal Pathology Findings Result	ATRESIA	Atretic	Absence or closure of a normal body orifice or tubular organ. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Atresia
C99673	C124310		Fetal Pathology Findings Result	AUTOLYSIS		Post-mortem degradation of cells and tissues.	Autolysis
C124498	C124310		Fetal Pathology Findings Result	BENT	Bowed; Curved	Abnormal curvature. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Bent
C124499	C124310		Fetal Pathology Findings Result	BILOBED		Organ that has two lobes or is divided into two lobes.	Bilobular
C124500	C124310		Fetal Pathology Findings Result	BIPARTITE OSSIFICATION		Ossification centers not fused. Commonly used for structures arising from two or more primary ossification centers (e.g., sternebrae, vertebral centra). Applies only to the ossification sites and does not imply that the structure, as represented by the bone precursor, is divided (split). (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Bipartite Ossification
C176479	C124310		Fetal Pathology Findings Result	BIVENTRICULAR OVERRIDE	Overriding	Biventricular origin of a cardiovascular vessel.	Vessel Biventricular Override
C124501	C124310		Fetal Pathology Findings Result	BLOOD FILLED		A finding indicating that that an anatomic space or cavity is filled with blood.	Blood-Filled
