Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C65047		Yes	Laboratory Test Code	LBTESTCD	Laboratory Test Code	Terminology used for laboratory test codes of the CDISC Study Data Tabulation Model.	CDISC SDTM Laboratory Test Code Terminology
C100429	C65047		Laboratory Test Code	A1AGLP	Alpha-1 Acid Glycoprotein	A measurement of the alpha-1 acid glycoprotein in a biological specimen.	Alpha-1 Acid Glycoprotein Measurement
C181404	C65047		Laboratory Test Code	A1ANTRPF	Alpha-1 Antitrypsin, Functional	A measurement of the functional alpha-1 antitrypsin in a biological specimen.	Functional Alpha-1 Antitrypsin Measurement
C80167	C65047		Laboratory Test Code	A1ANTRYP	Alpha-1 Antitrypsin; Serum Trypsin Inhibitor	A measurement of the alpha-1 antitrypsin in a biological specimen.	Alpha-1 Antitrypsin Measurement
C186022	C65047		Laboratory Test Code	A1MCGEXR	Alpha-1 Microglobulin Excretion Rate	A measurement of the amount of alpha-1 microglobulin being excreted in a biological specimen over a defined amount of time (e.g. one hour).	Alpha-1 Microglobulin Excretion Rate Measurement
C100462	C65047		Laboratory Test Code	A1MCREAT	Alpha-1 Microglobulin/Creatinine	A relative measurement (ratio or percentage) of the alpha-1 microglobulin to creatinine in a biological specimen.	Alpha-1 Microglobulin to Creatinine Ratio Measurement
C100461	C65047		Laboratory Test Code	A1MICG	Alpha-1 Microglobulin; Protein HC	A measurement of the alpha-1 microglobulin in a biological specimen.	Alpha-1 Microglobulin Measurement
C80168	C65047		Laboratory Test Code	A2MACG	Alpha-2 Macroglobulin	A measurement of the alpha-2 macroglobulin in a biological specimen.	Alpha-2 Macroglobulin Measurement
C172524	C65047		Laboratory Test Code	A73OXC	7-Alpha hydroxy-4-cholesten-3-one; 7-alpha-Hydroxy-4-cholesten-3-one	A measurement of the 7-alpha-hydroxy-4-cholesten-3-one in a biological specimen.	7-alpha-Hydroxy-4-cholesten-3-one Measurement
C154761	C65047		Laboratory Test Code	AAMAPAC	Alpha-Aminoadipate; Alpha-Aminoadipic Acid	A measurement of the alpha-aminoadipic acid in a biological specimen.	Alpha-Aminoadipic Acid Measurement
C154759	C65047		Laboratory Test Code	AAMBTAC	Alpha-aminobutyrate; Alpha-Aminobutyric Acid; Homoalanine	A measurement of the alpha-aminobutyric acid in a biological specimen.	Alpha-Aminobutyric Acid Measurement
C100430	C65047		Laboratory Test Code	AAP	Alanine Aminopeptidase	A measurement of the alanine aminopeptidase in a biological specimen.	Alanine Aminopeptidase Measurement
