Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C225362		Yes	Microscopic Findings Result Modifier	MIRESMOD	Microscopic Findings Result Modifier	Terminology relevant to modifiers used to further characterize or describe microscopic findings.	CDISC SEND Microscopic Findings Result Modifier Terminology
C225801	C225362		Microscopic Findings Result Modifier	ABNORMAL MATERIAL		A physical substance that is atypical.	Abnormal Material
C225802	C225362		Microscopic Findings Result Modifier	ABNORMAL SHAPE		A shape that is atypical.	Abnormal Shape
C25401	C225362		Microscopic Findings Result Modifier	ABNORMAL	Aberrant	Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm. (NCI)	Abnormal
C225803	C225362		Microscopic Findings Result Modifier	ACELLULAR		Of, or pertaining to, a lack of cells	Acellular Finding
C225804	C225362		Microscopic Findings Result Modifier	ACINAR		Of, or pertaining to, an acinus.	Acinar
C225805	C225362		Microscopic Findings Result Modifier	ACYCLIC		The lack of a cycle; not cyclic.	Acyclic
C225806	C225362		Microscopic Findings Result Modifier	ADENOLIPOMATOUS		Of, or pertaining to, an adenolipoma.	Adenolipomatous Finding
C225807	C225362		Microscopic Findings Result Modifier	ADENOMATOUS		Of, or pertaining to a finding that shares some qualities of an adenoma.	Adenomatous Finding
C2140	C225362		Microscopic Findings Result Modifier	ADJUVANT	Adjuvant	An agent that enhances the activity or therapeutic effect of another substance, but which is not itself therapeutically active.	Adjuvant
C225808	C225362		Microscopic Findings Result Modifier	ADNEXAL		Of, or pertaining to, the adnexa.	Adnexal
C225809	C225362		Microscopic Findings Result Modifier	ADRENAL		Of, or pertaining to, the adrenal gland.	Adrenal
C94318	C225362		Microscopic Findings Result Modifier	ADRENOCORTICAL	Adrenal Cortical	Of, or pertaining to, the cortex of the adrenal gland.	Adrenocortical
C225810	C225362		Microscopic Findings Result Modifier	AGE-RELATED		An indication that the finding is related to the age of the test subject.	Age-Related
C225811	C225362		Microscopic Findings Result Modifier	AGONAL		Of, or pertaining to, the time immediately prior to death.	Agonal
C14155	C225362		Microscopic Findings Result Modifier	ALVEOLAR		Of, or pertaining to, the alveoli of the lung.	Alveolar
C225812	C225362		Microscopic Findings Result Modifier	AMELANOTIC		Of, or pertaining to an absence or paucity of melanin pigment.	Amelanotic Finding
C225813	C225362		Microscopic Findings Result Modifier	AMORPHOUS BASOPHILIC MATERIAL		A physical substance lacking a defined shape or structure with a basophilic tint.	Amorphous Basophilic Material
C225445	C225362		Microscopic Findings Result Modifier	AMORPHOUS MATERIAL		A physical substance lacking a defined shape or structure.	Amorphous Material
C225814	C225362		Microscopic Findings Result Modifier	AMPHOPHILIC		A tissue or cell that stains with both acidic and basic dyes, such as eosin and hematoxylin.	Amphophilic
C14144	C225362		Microscopic Findings Result Modifier	ANAPLASTIC		Of, or pertaining to malignant cells that are pleomorphic and/or poorly differentiated.	Anaplastic
C225815	C225362		Microscopic Findings Result Modifier	ANGIOMATOUS		Of, or pertaining to, blood vessels.	Angiomatous Finding
C25231	C225362		Microscopic Findings Result Modifier	ANTERIOR		Denoting the front portion of the body or a structure.	Anterior
C25423	C225362		Microscopic Findings Result Modifier	APICAL		Of, or pertaining to, an apex.	Apical
C28273	C225362		Microscopic Findings Result Modifier	AQUEOUS		Of, pertaining to, or containing water.	Aqueous
C225816	C225362		Microscopic Findings Result Modifier	ARTERIAL		Of, or pertaining to, an artery.	Arterial
C225817	C225362		Microscopic Findings Result Modifier	ARTERIOLAR		Of, or pertaining to, the arterioles.	Arteriolar
C225818	C225362		Microscopic Findings Result Modifier	ARTICULAR		Of, or pertaining to, the joint surface.	Articular
C225819	C225362		Microscopic Findings Result Modifier	ATRETIC		Of, or pertaining to congenital anatomic or follicular atresia.	Atretic Finding
C37914	C225362		Microscopic Findings Result Modifier	ATRIAL		Of, or pertaining to, a cavity or chamber in the body, especially one of the upper chambers of the heart.	Atrial
C225820	C225362		Microscopic Findings Result Modifier	ATRIOCAVAL		Of, or pertaining to, the area between the atrium of the heart and the inferior vena cava.	Atriocaval
C96901	C225362		Microscopic Findings Result Modifier	AURICULAR		Of, or pertaining to, the ear.	Auricular
C225821	C225362		Microscopic Findings Result Modifier	AVILLOUS		Without villi.	Avillous
C225822	C225362		Microscopic Findings Result Modifier	AXILLARY REGION		The area in proximity to the axilla.	Axillary Region
