Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C88025		Yes	Neoplasm Type	NEOPLASM	Neoplasm Type	The terminology that includes concepts relevant to benign or malignant tissue growth.	CDISC SEND Tumor Findings Results Terminology
C116215	C88025		Neoplasm Type	ACINAR-ISLET CELL TUMOR, BENIGN		A benign tumor of the pancreas with morphologic characteristics of endocrine, acinar and ductal cells. (INHAND)	Experimental Organism Benign Acinar-islet Cell Tumor
C6878	C88025		Neoplasm Type	ACINAR-ISLET CELL TUMOR, MALIGNANT		A malignant pancreatic neoplasm characterized by the presence of a mixture of acinar and islet cell elements.	Pancreatic Mixed Acinar Carcinoma-Neuroendocrine Carcinoma
C7644	C88025		Neoplasm Type	ADAMANTINOMA, MALIGNANT	Adamantinoma	A low-grade malignant neoplasm composed of epithelial cells and a spindle cell osteo-fibrous proliferation.	Adamantinoma
C4200	C88025		Neoplasm Type	ADENOACANTHOMA, MALIGNANT	Adenoacanthoma	A malignant neoplasm arising from glandular cells that includes focal or extensive areas of squamous metaplasia.	Adenocarcinoma with Squamous Metaplasia
C154892	C88025		Neoplasm Type	ADENOCARCINOMA ARISING IN FIBROADENOMA, MALIGNANT		A malignant adenocarcinoma that arises from a pre-existing benign fibroadenoma.	Experimental Organism Adenocarcinoma Arising in Fibroadenoma
C3766	C88025		Neoplasm Type	ADENOCARCINOMA, CLEAR CELL, MALIGNANT	Clear Cell Carcinoma; Mesonephroid Clear Cell Adenocarcinoma; Mesonephroid Clear Cell Carcinoma	A malignant neoplasm comprising glandular epithelial clear cells.	Clear Cell Adenocarcinoma
C156609	C88025		Neoplasm Type	ADENOCARCINOMA, DUCTAL CELL, MALIGNANT		A malignant adenocarcinoma characterized by duct-like structures accompanied by dense, fibrous stroma. (INHAND)	Experimental Organism Ductal Cell Adenocarcinoma
C7359	C88025		Neoplasm Type	ADENOCARCINOMA, ENDOMETRIAL, MALIGNANT	Adenocarcinoma of Endometrium; Adenocarcinoma of the Endometrium	A malignant glandular neoplasm of the uterine lining.	Endometrial Adenocarcinoma
C2852	C88025		Neoplasm Type	ADENOCARCINOMA, MALIGNANT		A malignant neoplasm arising from glandular cells.	Adenocarcinoma
