Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C77529		Yes	Specimen	SPEC	Specimen	Terminology related to any material sample taken from a biological entity.	CDISC SEND Biospecimens Terminology
C77608	C77529		Specimen	ABDOMINAL WALL		The tissue that surrounds the organs present in the abdominal cavity.	Abdominal Wall
C98702	C77529		Specimen	ABOMASUM		The glandular stomach of ruminants.	Abomasum
C12472	C77529		Specimen	ADIPOSE TISSUE	Body Fat; Fat Tissue	Connective tissue consisting primarily of adipocytes (fat cells) and supporting structural matrix.	Adipose Tissue
C32235	C77529		Specimen	ADIPOSE TISSUE, BROWN	BAT; Brown Fat	Brown-colored adipose tissue that contains numerous small droplets of lipids and high numbers of mitochondria.	Brown Adipose Tissue
C33889	C77529		Specimen	ADIPOSE TISSUE, WHITE	White Fat	White-colored adipose tissue that is predominantly composed of cells with a large single vacuole containing lipid.	White Adipose Tissue
C120926	C77529		Specimen	AIR SAC		A part of the respiratory system in multiple species (predominantly avian) which are variably connected with the lung.	Air Sac
C150891	C77529		Specimen	ALVEOLAR AIR		The gas from the alveoli of the lungs.	Alveolar Air
C78729	C77529		Specimen	ARTERIAL BLOOD		Oxygenated blood which is transported with nutrients to body tissues through the arterial system. The exception is blood within the pulmonary artery which carries deoxygenated blood to the lungs. (NCI)	Arterial Blood
C12372	C77529		Specimen	ARTERY	Artery	A blood vessel that carries blood away from the heart. (NCI)	Artery
C12669	C77529		Specimen	ARTERY, AORTA		The major artery of the body; it arises from the left ventricle of the heart and terminally bifurcates into the common iliac arteries.	Aorta
C52849	C77529		Specimen	ARTERY, AURICULAR		One of the arteries of the pinna; in general it arises from the internal carotid artery or the superficial temporal artery.	Auricular Artery
C12681	C77529		Specimen	ARTERY, BRACHIAL		An artery of the forelimb; in general it arises from the axillary artery and branches to form the radial and ulnar arteries.	Brachial Artery
C32814	C77529		Specimen	ARTERY, BRACHIOCEPHALIC	Innominate Artery	An artery of the mediastinum; in general it arises from the aortic arch and branches to form the right subclavian artery and one or both common carotid arteries.	Innominate Artery
C12687	C77529		Specimen	ARTERY, CAROTID	Common Carotid Artery	An artery of the mediastinum and neck; in general it arises as a primary or secondary branch of the aortic arch and branches into the internal and external carotid arteries.	Common Carotid Artery
C12843	C77529		Specimen	ARTERY, CORONARY		One of the arteries of the heart; in general it arises from the aortic root and supplies the myocardium.	Coronary Artery
C12715	C77529		Specimen	ARTERY, FEMORAL		An artery of the thigh; in general it arises from the external iliac artery distal to the inguinal ligment and continues as the popliteal artery.	Femoral Artery
C12733	C77529		Specimen	ARTERY, ILIAC		An artery of the pelvic region and legs/hindlimbs; in general it arises from the bifurcation of the aorta and branches into the external and internal iliac arteries.	Iliac Artery
C52941	C77529		Specimen	ARTERY, INTERNAL THORACIC		An artery of the thoracic wall; in general it arises from the subclavian artery and branches into the musculophrenic and superior epigastric arteries.	Internal Mammary Artery
C52975	C77529		Specimen	ARTERY, MESENTERIC		One of the arteries of the abdomen; in general it arises from the abdominal aorta and supplies blood mainly to the intestines.	Mesenteric Artery
C12774	C77529		Specimen	ARTERY, PULMONARY		One of the arteries of the thorax; in general it arises from the pulmonary trunk and branches into the lungs.	Pulmonary Artery
C12778	C77529		Specimen	ARTERY, RENAL		One of the arteries of the abdomen; in general it arises from the abdominal aorta and supplies blood to the kidney.	Renal Artery
C33587	C77529		Specimen	ARTERY, SPINAL		One of the arteries of the spine; in general it arises from the vertebral artery and supplies blood to the spinal cord.	Spinal Artery
C33643	C77529		Specimen	ARTERY, SUBCLAVIAN		One of the arteries of the thorax; in general it arises from the brachiocephalic artery or the aortic arch and branches into several arteries to supply blood to the head, neck, and arm/forelimb.	Subclavian Artery
C13347	C77529		Specimen	ASPIRATE		Fluid withdrawn from a body cavity, cyst, or tumor. (NCI)	Aspirate
C13192	C77529		Specimen	BILE		Fluid composed of waste products, bile acids, salts, cholesterol, and electrolytes. It is produced by the liver and may be stored in the gallbladder (if present).	Bile
C70699	C77529		Specimen	BIOSPECIMEN	Biological Sample; Biological Specimen; Biospecimen; Sample	Any material collected from a biological entity for testing, diagnostic, propagation, treatment, or research purposes.	Biospecimen
C25444	C77529		Specimen	BODY CAVITY		A natural hollow or sinus within the body. (NCI)	Body Cavity
C12664	C77529		Specimen	BODY CAVITY, ABDOMINAL	Abdomen	The body cavity between the thoracic and pelvic cavities in mammals.	Abdomen
C77638	C77529		Specimen	BODY CAVITY, CRANIAL	Intracranial Cavity	The space that is formed by the bones of the skull, and contains the brain.	Cranial Cavity
C92208	C77529		Specimen	BODY CAVITY, EXTRAPERITONEAL	Extraperitoneal Area; Extraperitoneal Space	The space of the abdominal and pelvic cavities outside the peritoneum. (NCI)	Extraperitoneal Space
C12424	C77529		Specimen	BODY CAVITY, NASAL		The upper respiratory tract extending from the nares to the pharynx.	Nasal Cavity
C12421	C77529		Specimen	BODY CAVITY, ORAL	Buccal cavity; Mouth	The cavity of the mouth.	Oral Cavity
C12347	C77529		Specimen	BODY CAVITY, ORBITAL	Eye Socket; Ocular Orbit; Orbit	The bony cavity that contains the eye and its associated structures.	Orbit
C12767	C77529		Specimen	BODY CAVITY, PELVIC	Pelvic Region; Pelvis	The bony, basin-shaped structure formed by the bones of the pelvis.	Pelvis
C38662	C77529		Specimen	BODY CAVITY, PERICARDIAL		The body space between the epicardium and the pericardium.	Pericardial Cavity
C12769	C77529		Specimen	BODY CAVITY, PERITONEAL		A part of the abdominal cavity that lies between the visceral and parietal peritoneum.	Peritoneal Cavity
C12840	C77529		Specimen	BODY CAVITY, PLEURAL		A part of the thoracic cavity that lies between the visceral and parietal pleura.	Pleural Cavity
C12905	C77529		Specimen	BODY CAVITY, THORACIC		The cavity enclosed by the ribs between the diaphragm and the neck.	Thoracic Cavity
C12431	C77529		Specimen	BONE MARROW		The tissue occupying the spaces of some bones. It consists of blood vessel sinuses and a network of hematopoietic cells.	Bone Marrow
C77686	C77529		Specimen	BONE MARROW, FEMUR	Bone Marrow, Femoral	Bone marrow in the femoral bone. (NCI)	Bone Marrow, Femur
C77687	C77529		Specimen	BONE MARROW, HUMERUS		Bone marrow in the humerus bone. (NCI)	Bone Marrow, Humerus
C77688	C77529		Specimen	BONE MARROW, RIB		Bone marrow in the rib. (NCI)	Bone Marrow, Rib
